제공기관명,재활용센터명,재활용센터운영구분,소재지도로명주소,위도,경도
전라남도,순천시자원순환센터,직영,전라남도 순천시 주암면 동주로 2230-63,35.0680947565,127.2483341752
부산광역시,동래구 재활용센터,위탁,부산광역시 동래구 충렬대로202번길 33(수안동),35.201229,129.08191570000002
부산광역시,부산진구 재활용센터,위탁,부산광역시 부산진구 신천대로 155(부전동),35.1556331471,129.05074106700002
부산광역시,남구재활용센터,위탁,부산광역시 남구 석포로 126번길 4(대연동),35.128156700000005,129.091304
부산광역시,동아재활용센터,위탁,부산광역시 남구 동명로115-1(용호동),35.12021621,129.109779
부산광역시,용성가전에어컨,위탁,부산광역시 남구 용호로109번길3(용호동),35.12249262,129.112594
부산광역시,남부재활용센터,위탁,부산광역시 남구 홍곡로 26(감만동),35.1161314,129.082796
강원도,환경자원센터,위탁,강원도 양양군 양양읍 되넘이길 80,38.0937870294,128.5715944939
경기도,광명시재활용센터,위탁,경기도 광명시 금당로 47,37.460017799999996,126.8832081
경상남도,창원시진해재활용품상설교환판매장,위탁,경상남도 창원시 진해구 동진로 44(석동),35.152517200000005,128.70049699999998
부산광역시,연제구 환경자원관리소,직영,부산광역시 연제구 고분로 222,35.183252,129.106349
전라남도,보성군 환경자원사업소,직영,전라남도 보성군 보성읍 평동로 1654-30(용문리),34.78118168,127.08523059999999
경상남도,경남거제지역자활센터,위탁,경상남도 거제시 거제중앙로13길 22 (고현동),34.88276848,128.62371940000003
경상남도,거제YWCA 아나바다 재활용센터,위탁,경상남도 거제시 탑곡로 75 (아주동),34.86244036,128.691074
경기도,포천시 환경자원센터,직영,경기도 포천시 신북면 신평로16번길 207,37.967631,127.24363400000001
서울특별시,금천구재활용센터,위탁,서울특별시 금천구 시흥대로 182,37.45017338,126.9027728
서울특별시,금천구 지정 독산동 재활용센터,위탁,서울특별시 금천구 독산로 303,37.4737391,126.90308040000001
부산광역시,사상구재활용센터,위탁,부산광역시 사상구 백양대로 858(모라동),35.18310703,128.989651
제주특별자치도,대정읍 동일1리 재활용 도움센터,직영,제주특별자치도 서귀포시 대정읍 동일하모로 90,33.2285266502,126.241454874
서울특별시,서초구재활용센터,위탁,서울특별시 서초구 양재대로12길 73-19,37.4593313323,127.04012054190001
강원도,원주시 중고가전가구재활용센터(1호점),위탁,강원도 원주시 치악로 1601-6(단구동),37.326122722600005,127.9599504
강원도,원주시 중고가전가구재활용센터(2호점),위탁,강원도 원주시 원일로 214(학성동),37.3557821,127.94448307030001
서울특별시,강남구재활용센터,위탁,서울특별시 강남구 개포로 247,37.479138,127.0494793
서울특별시,리싸이클세상,위탁,서울특별시 강남구 논현로 115길 7,37.50883463,127.03250179999999
경상북도,포항시재활용선별장,위탁,경상북도 포항시 남구 서원재로 45,35.986793,129.389004
강원도,평창군 자원회수센터,직영,강원도 평창군 미탄면 서동로 3391-27,37.342343,128.473812
강원도,철원군 재활용센터,직영,강원도 철원군 철원읍 독서당길 305,38.2241408686,127.1695236346
서울특별시,영등포구 재활용센터,위탁,서울특별시 영등포구 대방천로 207,37.498725,126.913851
충청남도,보령시 공공재활용 기반시설,위탁,충청남도 보령시 해안로 543,36.3383774594,126.539491348
전라북도,익산시 생활자원 회수센터,위탁,전라북도 익산시 선화로 798,35.9673824467,127.0000090908
서울특별시,강동구가전가구재활용센터,위탁,서울특별시 강동구 동남로 930,37.55699643,127.1569746
부산광역시,벼룩시장,직영,부산광역시 동구 범내남로 3(범일동),35.1405122922,129.0492462081
부산광역시,초량재활용마트,직영,부산광역시 동구 홍곡로 7-1(초량동),35.120839000000004,129.038658
경기도,재활용센터,위탁,경기도 의왕시 가나무로 20,37.33777051,126.9642594
대전광역시,중구새마을부녀회알뜰매장,위탁,대전광역시 중구 대종로386번길 69,36.3214249488,127.4340625
강원도,횡성군재활용선별장,위탁,강원도 횡성군 횡성읍 학오로 89,37.5096898556,127.9708384595
제주특별자치도,안덕면 화순리 재활용 도움센터,직영,제주특별자치도 서귀포시 안덕면 화순로 154-42,33.2504308849,126.330419997
경상남도,합천군재활용선별장,위탁,경상남도 합천군 대양면 합천대로 2586-51,35.5494167329,128.1734842015
전라북도,임실군 생활쓰레기처리장,직영,전라북도 임실군 관촌면 관진로 233,35.6777665732,127.2904734096
충청남도,금산군 생활자원회수센터,위탁,충청남도 금산군 추부면 용천로798-51,36.17116665,127.4411889
충청북도,청주시재활용(3R)센터,위탁,충청북도 청주시 서원구 무심서로 333,36.6240125864,127.489364026
경기도,김포시재활용수집소,위탁,경기도 김포시 금포로1119,37.6462404642,126.7056753023
경상북도,영덕군재활용선별장,직영,경상북도 영덕군 강구면 하저길 139-1,36.4126414012,129.38966637
부산광역시,사하구재활용센터,직영,부산광역시 사하구 낙동대로 641,35.12022201,128.96291599999998
경기도,오산시 자원재활용센터,직영,경기도 오산시 오산천로 3-35,37.13313732,127.0586926
전라남도,함평군환경관리센터,직영,전라남도 함평군 함평읍 주포로 170-9,35.09101753,126.48041070000001
경상남도,김해시 재활용품선별장,위탁,경상남도 김해시 한림면 김해대로 835번길 13-72,35.299424,128.77832990000002
경상북도,예천군생활자원회수센터,직영,경상북도 예천군 예천읍 원고개길 57-25,36.63781764,128.4616533
경상남도,의령군 재활용센터,위탁,"경상남도 의령군 의령읍 의병로8길 44, 3층",35.31545314,128.25589409999998
충청남도,맑은누리센터 재활용선별시설,위탁,충청남도 예산군 대흥면 차동로 1661-157,36.66333984,126.8412887
강원도,강릉시자원순환센터,직영,강원도 강릉시 강동면 임곡로 557-13,37.69266797,128.98794469999999
경기도,수원시자원순환센터,위탁,경기도 수원시 영통구 광교호수로 278-1(하동),37.28923996,127.08628519999999
광주광역시,광주광역시 남구 재활용선별장,직영,광주광역시 남구 효천길 25-21,35.105323999999996,126.87822299999999
서울특별시,강북구재활용센터,위탁,서울특별시 강북구 노해로 70,37.64183139,127.022653
전라남도,고흥자원재활용센터,직영,전라남도 고흥군 고흥읍 봉계2길 142,34.597277000000005,127.29016599999999
전라남도,영광군환경관리센터,위탁,전라남도 영광군 홍농읍 홍농로8길 214,35.4266508625,126.43210064459998
경상남도,밀양시 재활용품 선별장,직영,경상남도 밀양시 무안면 신생길 53-246,35.4790945944,128.6870329168
전라남도,완도군 자원관리센터,위탁,전라남도 완도군 완도읍 망석리 1-4 폐기물처리장,34.290003999999996,126.76915600000001
제주특별자치도,중앙 재활용 도움센터,직영,제주특별자치도 서귀포시 중앙로62번길 18(서귀동),33.2501708,126.56367859999999
인천광역시,자월면 승봉 재활용 선별장,직영,인천광역시 옹진군 자월면 승봉로29번길 100-13,37.17284668,126.29637509999999
인천광역시,대청면 소청 재활용 선별장,직영,인천광역시 옹진군 대청면 소청동로 159,37.77133063,124.76094340000002
인천광역시,서구 재활용선별장,직영,인천광역시 서구 거월로 39,37.5806255145,126.6478510078
전라남도,목포시 재활용선별센터,직영,전라남도 목포시 대양로 241-55,34.82798253,126.40804579999998
충청남도,공공재활용기반시설,위탁,충청남도 부여군 장암면 북고로 201,36.2321326139,126.9163324003
서울특별시,성북구재활용센터,위탁,서울특별시 성북구 화랑로 148 (상월곡동),37.6055044,127.04740020000001
서울특별시,강서재활용센터,위탁,서울특별시 강서구 화곡로35길 1,37.545155,126.844155
서울특별시,강서구재활용센터,위탁,서울특별시 강서구 방화대로336,37.57083785,126.81691599999999
서울특별시,친환경재활용센터,위탁,서울특별시 강서구 강서로134(정원사빌딩1층),37.5390045,126.84252190000001
서울특별시,강서중고재활용센터,위탁,서울특별시 강서구 까치산로 102,37.5472447019,126.8489269998
인천광역시,중구재활용센터,위탁,인천광역시 중구 서해대로 324,37.4557581,126.6296378
전라남도,곡성군재활용품선별장,직영,전라남도 곡성군 곡성읍 곡고로 98-157,35.2818126122,127.32523852860001
인천광역시,(사)인천내일을 여는 집 계양구 재활용센터(계산점),위탁,인천광역시 계양구 계양대로205번길 11-3,37.541718100000004,126.7219284
인천광역시,(사)한국생활자원재활용협회,위탁,인천광역시 계양구 장제로743번길 14,37.53453818,126.7334971
충청북도,충주시클린센터,직영,"충청북도 충주시 낙수당1길 41(칠금동, 클린센터)",36.98235533,127.9016585
충청북도,옥천군 생활자원회수센터,직영,충청북도 옥천군 군북면 이평1길 199,36.34698788,127.57816909999998
전라북도,종합리싸이클링타운,위탁,전라북도 전주시 완산구 삼산길 51-24,35.7998258091,127.073693175
경기도,의정부시재활용수리판매소,위탁,경기도 의정부시 장곡로 450(신곡동),37.7435522,127.05519890000001
대구광역시,유창알앤씨,위탁,대구광역시 서구 국채보상로20길 25,35.8663645,128.54171920000002
인천광역시,덕적면 덕적 재활용 선별장,직영,인천광역시 옹진군 덕적면 덕적남로 771번길 103,37.23042245,126.1065875
인천광역시,북도면 신도리 재활용 선별장,직영,인천광역시 옹진군 북도면 시도로86번길 78,37.53555774,126.43161119999999
인천광역시,연평면 대연평 재활용 선별장,직영,인천광역시 옹진군 연평면 연평로 746-46,37.65265477,125.69100259999999
인천광역시,자월면 자월 재활용 선별장,직영,인천광역시 옹진군 자월면 자월서로 78,37.24991944,126.3151764
인천광역시,백령면 재활용 선별장,직영,인천광역시 옹진군 백령면 백령남로72번길 356,37.95713929,124.6965634
인천광역시,북도면 장봉리 재활용 선별장,직영,인천광역시 옹진군 북도면 장봉로 678,37.54345186,126.33270490000001
인천광역시,영흥면 재활용 선별장,직영,인천광역시 옹진군 영흥면 영흥남로110번길 116,37.24982327,126.46674909999999
인천광역시,덕적면 문갑 재활용 선별장,직영,인천광역시 옹진군 덕적면 문갑로 61,37.17249596,126.10733300000001
인천광역시,덕적면 백아 재활용 선별장,직영,,37.076451,125.9442335
인천광역시,덕적면 울도 재활용 선별장,직영,인천광역시 옹진군 덕적면 울도로 182번길 8-1,37.02579534,125.99668759999999
인천광역시,대청면 대청 재활용 선별장,직영,인천광역시 옹진군 대청면 대청북로 53,37.83920892,124.70530349999999
인천광역시,자월면 대이작 재활용 선별장,직영,인천광역시 옹진군 자월면 대이작로 159번길 127,37.17468452,126.264866
제주특별자치도,대정읍 구억리 재활용 도움센터,직영,제주특별자치도 서귀포시 대정읍 영어도시로 35-3,33.2755102,126.27627659999999
제주특별자치도,새서귀포 재활용 도움센터,직영,제주특별자치도 서귀포시 신서귀로 87(법환동),33.2563333,126.5078479
제주특별자치도,성산읍 성산리 재활용 도움센터,직영,제주특별자치도 서귀포시 성산읍 일출로 221,33.4600127,126.9299495
제주특별자치도,성산읍 온평리 재활용 도움센터,직영,제주특별자치도 서귀포시 성산읍 온평포구로62번길 13,33.4014609,126.9025243
제주특별자치도,호근 재활용 도움센터,직영,제주특별자치도 서귀포시 호근로26번길 10(호근동),33.2541798,126.52672199999999
제주특별자치도,안덕면 감산리 재활용 도움센터,직영,제주특별자치도 서귀포시 안덕면 일주서로 1519,33.2582489,126.3540239
제주특별자치도,남원읍 남원리 재활용 도움센터,직영,제주특별자치도 서귀포시 남원읍 남태해안로 100,33.276156,126.71725500000001
제주특별자치도,동홍동 재활용 도움센터,직영,제주특별자치도 서귀포시 동홍로 162번길 45(동홍동),33.2646922267,126.57172380850001
제주특별자치도,대정읍 하모3리 재활용 도움센터,직영,제주특별자치도 서귀포시 대정읍 신영로36번길 69-11,33.2205077,126.247593
제주특별자치도,효돈동 재활용 도움센터,직영,제주특별자치도 서귀포시 월라봉로34번길 37(신효동),33.2663737701,126.60922888
제주특별자치도,표선면 표선리 재활용 도움센터,직영,제주특별자치도 서귀포시 표선면 표선동서로 203-1,33.3227156667,126.83038413
제주특별자치도,마라도 재활용 도움센터,직영,제주특별자치도 서귀포시 대정읍 마라로 127,33.1139619823,126.267786032
제주특별자치도,중문동 재활용 도움센터,직영,제주특별자치도 서귀포시 중문상로17번길 3(중문동),33.2499657121,126.424059175
제주특별자치도,서홍동 재활용 도움센터,직영,제주특별자치도 서귀포시 홍중로 28(서홍동),33.2553975,126.55618700000001
제주특별자치도,천지동 재활용 도움센터,직영,제주특별자치도 서귀포시 서문서로 46-1(서귀동),33.2509829,126.55874320000001
울산광역시,대영기업,위탁,울산광역시 남구 여천로 174,35.52604273,129.3528173
울산광역시,울주군 재활용품 선별장,직영,울산광역시 울주군 온산읍 화산로 113-11,35.419460799999996,129.3287862
서울특별시,광진구 재활용센터,위탁,서울특별시 광진구 자양로15길60,37.53528364,127.0804038
광주광역시,광주광역시 동구 재활용선별장,직영,광주광역시 동구 남문로 486(소태동),35.115061700000005,126.936132
서울특별시,성동구 재활용센터,위탁,서울특별시 성동구 천호대로 78길 58,37.5569162491,127.0549690377
서울특별시,용산구 재활용센터,위탁,서울특별시 용산구 한강대로67길 22-20(한강로1가),37.53764656,126.97140300000001
서울특별시,용산구 재활용센터,위탁,서울특별시 용산구 한강대로67길 22-20(한강로1가),37.53764656,126.97140300000001
전라남도,농촌폐기물종합처리시설,직영,전라남도 담양군 담양읍 태봉로 228-73,35.33667796,126.99804640000002
경기도,동두천시 재활용선별장,직영,경기도 동두천시 강변로 872,37.94229789,127.0563814
강원도,인제군 공공재활용선별시설,위탁,강원도 인제군 북면 금강로 221,38.13766188,128.212133
대구광역시,동구자원재활용센터,위탁,대구광역시 동구 공항로31길 26(불로동),35.903514,128.63099540000002
강원도,태백시 생활자원회수센터,직영,"강원도 태백시 용정길 307(통동,위생매립지)",37.1976912,129.003658
인천광역시,연평면 소연평 재활용 선별장,직영,인천광역시 옹진군 연평면 소연평로 161-94,37.61273536,125.72045990000002
서울특별시,서대문구재활용센터,위탁,서울특별시 서대문구 연희로 292,37.5832305228,126.93639106059999
전라북도,고창군 재활용선별시설,직영,전라북도 고창군 아산면 인천강변로201-95,35.45362712,126.61994109999999
부산광역시,영도구 재활용선별장,직영,부산광역시 영도구 해양로 202,35.08794406,129.0719674
경상남도,사천시 재활용선별장,직영,경상남도 사천시 환경길 55,34.92509077,128.115744
전라남도,영암군 공공재활용선별시설,직영,전라남도 영암군 군서면 녹색환경길 374,34.80677839,126.6101002
충청북도,보은군 생활자원회수센터,직영,,36.493097,127.67586200000001
경상북도,칠고국 환경종합센터,직영,경상북도 칠곡군 왜관읍 강변대로 888,35.95678064,128.3993445
강원도,고성군생활자원회수센터,직영,강원도 고성군 죽왕면 짱고개길 253,38.3633077892,128.4819008607
경상북도,상주시 재활용품선별장,직영,경상북도 상주시 영남제일로 1408-51,36.42394039,128.19071509999998
경기도,자원새롬센터,위탁,경기도 연천군 청산면 초대로 106번길 125,37.99813896,127.08449509999998
경상북도,청도환경관리센터,직영,경상북도 청도군 매전면 중앙로 84-460,35.6348144484,128.7778449887
충청북도,진천음성 광역폐기물처리장 재활용선별시설,위탁,충청북도 음성군 맹동면 원중로 873-23,36.8871897794,127.579352
경상북도,군위군 환경괸리센터,직영,경상북도 군위군 군위읍 내량길 150,36.2367554075,128.5419161894
충청남도,서천군재활용처리시설,직영,충청남도 서천군 비인면 충서로 636,36.11779119,126.6258564
부산광역시,용우재활용센터,위탁,부산광역시 수영구 광안로7번길 42(광안동),35.15902805,129.1149138
부산광역시,신수영재활용마트,위탁,부산광역시 수영구 연수로392번길 18(광안동),35.16864148,129.1116115
부산광역시,부전식당용 중고마트,위탁,부산광역시 수영구 연수로 272(망미동),35.172830499999996,129.10039369999998
부산광역시,수영종합재활용센터,위탁,부산광역시 수영구 연수로 365(수영동),35.17085857,129.110318
부산광역시,수영구재활용센터,위탁,부산광역시 수영구 수영로741번길 12(수영동),35.1684064,129.1207317
부산광역시,"팔도중고가전,가구마트",위탁,부산광역시 수영구 수미로 62(수영동),35.17307547,129.117523
강원도,정선군쓰레기위생매립장,직영,강원도 정선군 남면 광락로 691-233,37.3073887715,128.6784795922
강원도,양구군 전처리시설,직영,강원도 양구군 남면 국토정중앙로 300,38.0707181246,128.04095287209998
경상북도,의성군공공재활용센터,직영,경상북도 의성군 의성읍 동서1길 15-1,36.34961896,128.6959101
전라남도,공공재활용 선별장,직영,전라남도 화순군 한천면 덕음로 548,35.0206946331,126.99075660620001
경상남도,진주시재활용품선별장,위탁,경상남도 진주시 내동면 유수길 75번길 27,35.12231278,128.0145891
충청북도,제천시자원관리센터,직영,충청북도 제천시 북부로 1860,37.118062,128.173947
서울특별시,재활용센터1관,위탁,서을특별시 노원구 화랑로 486,37.6191271,127.07899440000001
서울특별시,재활용센터2관,위탁,서을특별시 노원구 덕릉로 639,37.654699,127.0717395
전라남도,해남군 재활용품 선별시설,직영,전라남도 해남군 해남읍 호교길 73-265,34.5672087599,126.53768350790001
부산광역시,부산광역시 기장군 재활용선별장,위탁,부산광역시 기장군 기장읍 소정안길 84,35.206652395,129.202335
전라북도,군산시재활용선별시설,직영,전라북도 군산시 새만금북로 630-28,35.947223843,126.605833586
충청남도,논산시재활용센터,직영,충청남도 논산시 부창로 72,36.19560375,127.08560770000001
충청남도,연무읍재활용센터,직영,충청남도 논산시 연무읍 안심로 50,36.12512245,127.09903020000002
충청남도,강경읍재활용센터,직영,충청남도 논산시 강경읍 옥녀봉로 66,36.16398303,127.01515500000001
인천광역시,주안사무용가구와중고알뜰센터,위탁,인천광역시 미추홀구 인주대로 427,37.4513908919,126.68417383
인천광역시,차차차 중고가전가구마트,위탁,인천광역시 미추홀구 경인로 108,37.4659873478,126.65458694540001
경기도,평택시남부재활용센터,위탁,경기도 평택시 성동로 11번길 26,36.995207,127.09106399999999
경기도,평택시북부재활용센터,위탁,경기도 평택시 밀월로 15번길 83-10,37.0789217167,127.0514802172
경기도,평택시서부재활용센터,위탁,경기도 평택시 안중읍 서동대로 1731-3,36.9920648098,126.94018484989999
경기도,성남시 재활용선별장,위탁,경기도 성남시 분당구 탄천로 247,37.4138929,127.1183866
광주광역시,광주광역시 서구 재활용선별장,위탁,광주광역시 서구 서창둑길 166(세하동),35.1215100507,126.8264282116
광주광역시,광주광역시 북구 재활용선별장,위탁,광주광역시 북구 삼소로 205(대촌동),35.237233493699996,126.85692556069999
광주광역시,광주광역시 동구 재활용선별장,직영,광주광역시 동구 남문로 486(소태동),35.1150483773,126.93614699999999
강원도,춘천시 도시형종합폐기물처리시설 재활용선별센터,위탁,강원도 춘천시 신동면 한치로 681-1,37.799513276999996,127.68360769870002
충청남도,서산시 재활용 센터(녹색가게),위탁,"충청남도 서산시 시장1로 4-4, 2층",36.781763230900005,126.45528522629999
서울특별시,관악구 재활용센터(봉천점),위탁,서울특별시 관악구 남부순환로 1663,37.485116600000005,126.9355290662
서울특별시,관악구 재활용센터(신림점),위탁,서울특별시 관악구 남부순환로 1494,37.481902447399996,126.9165961807
서울특별시,관악구 재활용센터(신림2점),위탁,서울특별시 관악구 신림로 202,37.4754207526,126.9372603462
부산광역시,해운대구자원재활용센터,직영,부산광역시 해운대구 석대천로118(반여동),35.21765981,129.13750890000003
충청북도,괴산광역생활자원회수센터,직영,충청북도 괴산군 괴산읍 능촌로2길70-37,36.8318263505,127.83414199999999
경상북도,영천시 그린환경센터,직영,경상북도 영천시 바깥완산길 433 (완산동),35.9648135072,128.9702937954
경상북도,안동시 재활용품선별장,직영,경상북도 안동시 배고개길 84,36.548657092,128.6716652186
전라남도,진도군재활용선별시설,직영,전라남도 진도군 군내면 한의길 115,34.5306959295,126.2622758903
경상북도,구미시 재활용품 전시판매장,위탁,경상북도 구미시 신시로10길 118,36.114273,128.351282
경상북도,구미시 재활용품 전시판매장,위탁,경상북도 구미시 신시로10길 118,36.114273,128.351282
전라북도,줄포환경센터,직영,전라북도 부안군 줄포면 분탕골로 215-34,35.587074258200005,126.6600256566
경상남도,통영시 재활용품 상설판매장,위탁,경상남도 통영시 동충1길 4(항남동),34.83982251,128.42214170000003
강원도,동해시가전가구재활용센터,위탁,강원도 동해시 봉수로 160,37.57651247,129.10856040000002
서울특별시,목동재활용센터,위탁,서울특별시 양천구 목동서로 262,37.5239435682,126.86911059999998
경상남도,북부재활용센터,위탁,경상남도 양산시 중앙로 109,35.340437,129.0373754908
경상남도,덕계재활용센터,위탁,경상남도 양산시 웅상대로 1038,35.3914538421,129.1586463015
경기도,재활용선별장,위탁,경기도 양주시 은현면 은남로 160,37.89328531,127.0100091
서울특별시,송파구재활용센터,위탁,서울특별시 송파구 문정로246 (마천동),37.499909901,127.14203130860001
서울특별시,구로구 재활용센터,위탁,서울특별시 구로구 새말로48,37.503211,126.88603799999999
전라북도,정읍시 재활용선별장,직영,전라북도 정읍시 영파길 169,35.6142384471,126.8549416486
서울특별시,중구재활용센터,위탁,서울특별시 중구 다산로 174,37.558977692199996,127.0134048849
경기도,안산시재활용센터,위탁,경기도 안산시 단원구 선부광장로 45,37.334924,126.812081
경기도,용인시 재활용센터,위탁,경기도 용인시 처인구 경안천로 288,37.25655776,127.21984450000001
경기도,이동읍 재활용센터,위탁,경기도 용인시 처인구 백옥대로489번길 19-6,37.1815787609,127.2001044782
전라북도,대산매립장 광역재활용품선별시설,직영,전라북도 남원시 대산면 노산하대길 134,35.414057431399996,127.3184415541
충청남도,공주시 재활용센터,직영,충청남도 공주시 봉황로 125,36.4568483374,127.12073519180001
충청북도,자원관리센터,직영,충청북도 증평군 도안면 천광길 125,36.842481,127.633583
경기도,모음과나눔,직영,경기도 가평군 가평읍 가화로 75-1,37.826593,127.51478700000001
서울특별시,중랑구재활용센터,위탁,서울특별시 중랑구 면목로 377,37.5856701,127.0881513
울산광역시,대영기업,위탁,울산광역시 남구 여천로 174,35.5259549,129.352975
광주광역시,재활용선별장,위탁,광주광역시 서구 서창둑길 166(세하동),35.1212223,126.826536
전라남도,강진환경정화센터,직영,,34.623583,126.776748
경상북도,김천시재활용선별장,위탁,경상북도 김천시 공단4길 51-11,36.158511616,128.123453518
울산광역시,울주군 재활용품 선별장,직영,울산광역시 울주군 온산읍 화산로 113-11,35.419460799999996,129.3287862
전라남도,여수시 재활용품선별장,직영,전라남도 여수시 진달래길 310-157(월내동),34.848082299999994,127.7392722
충청남도,천안시 재활용센터,위탁,충청남도 천안시 동남구 천안천6길 59-19,36.820064,127.150724
경기도,과천시 재활용센터,위탁,경기도 과천시 구리안로 177 자원정화센터 내 홍보관 1층,37.4078767,126.99244840000001
경기도,화성그린환경센터 재활용선별시설,위탁,경기도 화성시 봉담읍 하가등안길 100,37.1526679,126.9383801
서울특별시,은평구 재활용센터,위탁,서울특별시 은평구 수색로24길 16,37.59217,126.88425
서울특별시,도봉구재활용센터,직영,서울특별시 도봉구 마들로13길 218,37.65992,127.04539
충청북도,영동군자원순환센터,직영,충청북도 영동군 용산면 남부로 621-39,36.2207185,127.80099779999999
