,TIME 시점,A30 시도별,A30 시도별.1,A30 시도별.2,A30 시도별.3,A30 시도별.4,A30 시도별.5,A30 시도별.6,A30 시도별.7,A30 시도별.8,A30 시도별.9,A30 시도별.10,A30 시도별.11,A30 시도별.12,A30 시도별.13,A30 시도별.14,A30 시도별.15,A30 시도별.16,A30 시도별.17,A30 시도별.18,A30 시도별.19,A30 시도별.20,A30 시도별.21,A30 시도별.22,A30 시도별.23,A30 시도별.24,A30 시도별.25,A30 시도별.26,A30 시도별.27,A30 시도별.28,A30 시도별.29,A30 시도별.30,A30 시도별.31,A30 시도별.32,A30 시도별.33
3,2020. 03. 05,4,103,-1,92,321,4327,0,9,1,14,1,16,0,23,0,1,9,110,2,23,1,12,4,86,0,7,-1,4,87,861,9,74,1,4
4,2020. 03. 06,2,105,3,95,367,4694,0,9,-1,13,2,18,0,23,0,1,10,120,2,25,3,15,4,90,0,7,0,4,123,984,3,77,0,4
5,2020. 03. 07,3,108,1,96,390,5084,0,9,0,13,0,18,0,23,1,2,10,130,1,26,5,20,2,92,0,7,0,4,65,1049,5,82,0,4
6,2020. 03. 08,12,120,1,97,297,5381,0,9,0,13,0,18,1,24,1,3,11,141,1,27,4,24,6,98,0,7,0,4,32,1081,1,83,0,4
7,2020. 03. 09,10,130,-1,96,190,5571,0,9,2,15,1,19,0,24,3,6,11,152,1,28,1,25,4,102,0,7,0,4,26,1107,0,83,0,4
8,2020. 03. 10,11,141,0,96,92,5663,4,13,0,15,-1,18,0,24,2,8,11,163,0,28,0,25,2,104,0,7,0,4,10,1117,0,83,0,4
9,2020. 03. 11,52,193,2,98,131,5794,12,25,0,15,0,18,1,25,2,10,12,175,1,29,2,27,8,112,0,7,0,4,18,1135,1,84,0,4
10,2020. 03. 12,19,212,1,99,73,5867,0,25,0,15,2,20,0,25,5,15,3,178,0,29,0,27,2,114,0,7,0,4,8,1143,1,85,0,4
11,2020. 03. 13,13,225,1,100,61,5928,2,27,0,15,2,22,2,27,17,32,7,185,0,29,0,27,1,115,0,7,0,4,4,1147,0,85,0,4
12,2020. 03. 14,13,238,3,103,62,5990,1,28,0,15,0,22,0,27,6,38,15,200,0,29,1,28,0,115,0,7,0,4,6,1153,0,85,0,4
13,2020. 03. 15,9,247,3,106,41,6031,2,30,1,16,0,22,1,28,1,39,11,211,0,29,3,31,0,115,0,7,0,4,4,1157,0,85,0,4
14,2020. 03. 16,6,253,1,107,35,6066,0,30,0,16,0,22,0,28,1,40,20,231,0,29,0,31,0,115,0,7,0,4,7,1164,0,85,0,4
15,2020. 03. 17,12,265,0,107,32,6098,1,31,0,16,0,22,0,28,0,40,31,262,0,29,0,31,0,115,0,7,0,4,5,1169,1,86,0,4
16,2020. 03. 18,5,270,0,107,46,6144,1,32,1,17,0,22,2,30,1,41,15,277,1,30,1,32,3,118,2,9,1,5,9,1178,0,86,0,4
17,2020. 03. 19,12,282,0,107,97,6241,0,32,0,17,0,22,6,36,0,41,18,295,0,30,1,33,0,118,1,10,0,5,12,1190,0,86,0,4
18,2020. 03. 20,17,299,1,108,34,6275,4,36,1,18,0,22,0,36,0,41,14,309,0,30,0,33,1,119,0,10,0,5,13,1203,1,87,0,4
19,2020. 03. 21,15,314,0,108,69,6344,4,40,0,18,0,22,0,36,0,41,12,321,0,30,1,34,0,119,0,10,0,5,40,1243,0,87,0,4
20,2020. 03. 22,10,324,0,108,43,6387,0,40,1,19,2,24,0,36,0,41,16,337,0,30,1,35,1,120,0,10,1,6,11,1254,1,88,0,4
21,2020. 03. 23,6,330,1,109,24,6411,0,40,0,19,0,24,0,36,1,42,14,351,0,30,2,37,0,120,0,10,0,6,2,1256,1,89,0,4
22,2020. 03. 24,4,334,2,111,31,6442,1,41,0,19,0,24,0,36,0,42,15,366,0,30,1,38,0,120,0,10,0,6,1,1257,1,90,0,4
23,2020. 03. 25,13,347,1,112,14,6456,1,42,0,19,0,24,1,37,2,44,21,387,1,31,0,38,3,123,0,10,2,8,5,1262,0,90,2,6
24,2020. 03. 26,13,360,0,112,26,6482,1,43,0,19,6,30,0,37,0,44,14,401,0,31,1,39,1,124,0,10,0,8,12,1274,0,90,0,6
25,2020. 03. 27,12,372,1,113,34,6516,3,46,1,20,1,31,2,39,0,44,11,412,0,31,2,41,0,124,0,10,0,8,9,1283,1,91,1,7
26,2020. 03. 28,18,390,1,114,71,6587,5,51,0,20,0,31,0,39,0,44,21,433,1,32,0,41,2,126,0,10,0,8,2,1285,0,91,1,8
27,2020. 03. 29,20,410,3,117,23,6610,7,58,0,20,3,34,0,39,2,46,15,448,2,34,0,41,1,127,2,12,1,9,2,1287,3,94,0,8
28,2020. 03. 30,16,426,1,118,14,6624,0,58,0,20,0,34,0,39,0,46,15,463,2,36,3,44,0,127,1,13,0,9,11,1298,1,95,1,9
29,2020. 03. 31,24,450,1,119,60,6684,6,64,0,20,2,36,0,39,0,46,13,476,0,36,0,44,1,128,0,13,0,9,2,1300,1,96,0,9
30,2020. 04. 01,24,474,3,122,20,6704,5,69,4,24,0,36,0,39,0,46,23,499,2,38,0,44,3,131,1,14,3,12,2,1302,4,100,0,9
31,2020. 04. 02,14,488,0,122,21,6725,4,73,1,25,0,36,1,40,0,46,17,516,1,39,0,44,2,133,0,14,2,14,2,1304,6,106,0,9
32,2020. 04. 03,18,506,0,122,9,6734,1,74,1,26,0,36,0,40,0,46,23,539,2,41,1,45,1,134,1,15,1,15,5,1309,1,107,0,9
33,2020. 04. 04,22,528,0,122,27,6761,3,77,0,26,0,36,0,40,0,46,23,562,1,42,0,45,1,135,0,15,0,15,1,1310,1,108,0,9
34,2020. 04. 05,24,552,0,122,7,6768,2,79,1,27,1,37,0,40,0,46,10,572,3,45,0,45,0,135,1,16,0,15,4,1314,1,109,3,12
35,2020. 04. 06,11,563,0,122,13,6781,1,80,0,27,2,39,0,40,0,46,8,580,0,45,0,45,1,136,0,16,0,15,2,1316,2,111,0,12
36,2020. 04. 07,4,567,1,123,13,6794,0,80,0,27,0,39,0,40,0,46,10,590,2,47,0,45,1,137,0,16,0,15,1,1317,1,112,0,12
37,2020. 04. 08,11,578,2,125,9,6803,4,84,0,27,0,39,0,40,0,46,6,596,2,49,0,45,0,137,1,17,0,15,3,1320,1,113,0,12
38,2020. 04. 09,12,590,0,125,4,6807,0,84,0,27,0,39,0,40,0,46,10,606,0,49,0,45,1,138,0,17,0,15,0,1320,2,115,0,12
39,2020. 04. 10,5,595,1,126,0,6807,1,85,0,27,0,39,0,40,0,46,9,615,0,49,0,45,0,138,0,17,0,15,7,1327,0,115,0,12
40,2020. 04. 11,4,599,0,126,7,6814,0,85,0,27,0,39,1,41,0,46,9,624,0,49,0,45,0,138,0,17,0,15,3,1330,0,115,0,12
41,2020. 04. 12,3,602,0,126,2,6816,1,86,0,27,0,39,0,41,0,46,4,628,0,49,0,45,1,139,0,17,0,15,3,1333,0,115,0,12
42,2020. 04. 13,8,610,0,126,3,6819,1,87,0,27,0,39,0,41,0,46,3,631,0,49,0,45,0,139,0,17,0,15,4,1337,0,115,0,12
43,2020. 04. 14,2,612,0,126,3,6822,1,88,0,27,0,39,1,42,0,46,8,639,0,49,0,45,0,139,0,17,0,15,5,1342,0,115,0,12
44,2020. 04. 15,5,617,1,127,1,6823,0,88,1,28,0,39,0,42,0,46,6,645,2,51,0,45,0,139,0,17,0,15,6,1348,0,115,1,13
45,2020. 04. 16,2,619,3,130,4,6827,0,88,0,28,0,39,0,42,0,46,4,649,1,52,0,45,0,139,0,17,0,15,4,1352,0,115,0,13
46,2020. 04. 17,2,621,0,130,0,6827,1,89,2,30,1,40,0,42,0,46,1,650,0,52,0,45,0,139,0,17,0,15,4,1356,0,115,0,13
47,2020. 04. 18,1,622,0,130,3,6830,1,90,0,30,-1,39,0,42,0,46,4,654,1,53,0,45,2,141,0,17,0,15,2,1358,1,116,0,13
48,2020. 04. 19,2,624,0,130,2,6832,1,91,0,30,0,39,0,42,0,46,0,654,0,53,0,45,0,141,0,17,0,15,1,1359,0,116,0,13
49,2020. 04. 20,0,624,2,132,1,6833,1,92,0,30,0,39,1,43,0,46,2,656,0,53,0,45,0,141,0,17,0,15,2,1361,0,116,0,13
50,2020. 04. 21,2,626,0,132,2,6835,0,92,0,30,0,39,0,43,0,46,2,658,0,53,0,45,0,141,0,17,0,15,0,1361,0,116,0,13
51,2020. 04. 22,2,628,2,134,1,6836,0,92,0,30,1,40,0,43,0,46,0,658,0,53,0,45,0,141,0,17,0,15,2,1363,1,117,0,13
52,2020. 04. 23,0,628,1,135,4,6840,0,92,0,30,0,40,0,43,0,46,1,659,0,53,0,45,0,141,0,17,0,15,0,1363,0,117,0,13
53,2020. 04. 24,0,628,1,136,2,6842,0,92,0,30,0,40,0,43,0,46,1,660,0,53,0,45,0,141,0,17,0,15,1,1364,0,117,0,13
54,2020. 04. 25,1,629,0,136,3,6845,0,92,0,30,0,40,0,43,0,46,2,662,0,53,0,45,0,141,0,17,0,15,0,1364,0,117,0,13
55,2020. 04. 26,0,629,1,137,1,6846,0,92,0,30,0,40,0,43,0,46,6,668,0,53,0,45,0,141,1,18,0,15,0,1364,0,117,0,13
56,2020. 04. 27,0,629,0,137,1,6847,0,92,0,30,0,40,0,43,0,46,3,671,0,53,0,45,1,142,0,18,0,15,0,1364,0,117,0,13
57,2020. 04. 28,4,633,0,137,2,6849,1,93,0,30,0,40,0,43,0,46,3,674,0,53,0,45,0,142,0,18,0,15,1,1365,0,117,0,13
58,2020. 04. 29,0,633,0,137,3,6852,0,93,0,30,0,40,0,43,0,46,2,676,0,53,0,45,1,143,0,18,0,15,0,1365,0,117,0,13
59,2020. 04. 30,0,633,0,137,0,6852,0,93,0,30,0,40,0,43,0,46,0,676,0,53,0,45,0,143,0,18,0,15,0,1365,0,117,0,13
60,2020. 05. 01,1,634,0,137,0,6852,1,94,0,30,0,40,0,43,0,46,2,678,0,53,0,45,0,143,0,18,0,15,1,1366,0,117,0,13
61,2020. 05. 02,1,635,1,138,0,6852,1,95,0,30,0,40,0,43,0,46,0,678,0,53,0,45,0,143,0,18,0,15,0,1366,0,117,0,13
62,2020. 05. 03,2,637,0,138,4,6856,0,95,0,30,0,40,0,43,0,46,2,680,0,53,0,45,0,143,0,18,0,15,0,1366,0,117,0,13
63,2020. 05. 04,0,637,0,138,0,6856,1,96,0,30,0,40,1,44,0,46,1,681,0,53,0,45,0,143,0,18,1,16,0,1366,0,117,0,13
64,2020. 05. 05,0,637,0,138,0,6856,1,97,0,30,0,40,0,44,0,46,0,681,0,53,0,45,0,143,0,18,0,16,0,1366,0,117,0,13
65,2020. 05. 06,0,637,0,138,0,6856,0,97,0,30,0,40,0,44,0,46,0,681,0,53,0,45,0,143,0,18,0,16,0,1366,0,117,0,13
66,2020. 05. 07,0,637,0,138,0,6856,0,97,0,30,1,41,0,44,0,46,1,682,0,53,1,46,0,143,0,18,0,16,0,1366,0,117,0,13
67,2020. 05. 08,0,637,2,140,3,6859,0,97,0,30,0,41,0,44,0,46,2,684,0,53,1,47,0,143,1,19,0,16,0,1366,0,117,0,13
68,2020. 05. 09,12,649,1,141,0,6859,1,98,0,30,0,41,0,44,0,46,4,688,0,53,0,47,0,143,0,19,0,16,0,1366,0,117,0,13
69,2020. 05. 10,14,663,0,141,2,6861,3,101,0,30,0,41,0,44,0,46,6,694,0,53,2,49,0,143,0,19,0,16,0,1366,0,117,1,14
70,2020. 05. 11,20,683,0,141,0,6861,3,104,0,30,0,41,0,44,1,47,4,698,1,54,3,52,0,143,0,19,0,16,0,1366,0,117,0,14
71,2020. 05. 12,12,695,0,141,1,6862,1,105,0,30,2,43,0,44,0,47,8,706,0,54,0,52,0,143,0,19,0,16,1,1367,1,118,0,14
72,2020. 05. 13,12,707,3,144,3,6865,2,107,0,30,0,43,1,45,0,47,2,708,0,54,0,52,0,143,1,20,0,16,0,1367,1,119,0,14
73,2020. 05. 14,4,711,0,144,0,6865,12,119,0,30,0,43,0,45,0,47,6,714,1,55,3,55,1,144,0,20,1,17,1,1368,0,119,0,14
74,2020. 05. 15,14,725,0,144,3,6868,5,124,0,30,0,43,0,45,0,47,3,717,0,55,0,55,0,144,0,20,1,18,0,1368,0,119,0,14
75,2020. 05. 16,5,730,0,114,1,6869,0,124,0,30,0,43,0,45,0,47,4,721,0,55,1,56,0,144,0,20,0,18,0,1368,0,119,0,14
76,2020. 05. 17,5,735,0,144,1,6870,0,124,0,30,1,44,0,45,0,47,0,721,0,55,0,56,0,144,0,20,0,18,0,1368,2,121,0,14
77,2020. 05. 18,1,736,0,144,1,6871,0,124,0,30,0,44,0,45,0,47,3,724,0,55,3,59,0,144,0,20,0,18,0,1368,0,121,0,14
78,2020. 05. 19,6,742,0,144,0,6871,2,126,0,30,0,44,4,49,0,47,1,725,0,55,0,59,0,144,0,20,0,18,0,1368,0,121,0,14
79,2020. 05. 20,10,752,0,144,1,6872,8,134,0,30,0,44,0,49,0,47,10,735,0,55,0,59,0,144,1,21,0,18,0,1368,0,121,0,14
80,2020. 05. 21,4,756,0,144,0,6872,6,140,0,30,0,44,0,49,0,47,0,735,0,55,0,59,1,145,0,21,0,18,0,1368,0,121,0,14
81,2020. 05. 22,2,758,0,144,0,6872,1,141,0,30,0,44,1,50,0,47,6,741,0,55,0,59,0,145,0,21,0,18,2,1370,1,122,0,14
82,2020. 05. 23,4,762,0,144,1,6873,0,141,0,30,1,45,0,50,0,47,13,754,0,55,0,59,0,145,0,21,0,18,0,1370,1,123,0,14
83,2020. 05. 24,6,768,0,144,0,6873,2,143,0,30,0,45,0,50,0,47,6,760,1,56,0,59,0,145,0,21,0,18,6,1376,0,123,0,14
84,2020. 05. 25,6,774,0,144,1,6874,1,144,0,30,0,45,0,50,0,47,6,766,0,56,0,59,0,145,0,21,0,18,1,1377,0,123,0,14
85,2020. 05. 26,9,783,0,144,1,6875,3,147,0,30,0,45,0,50,0,47,2,768,0,56,1,60,0,145,0,21,0,18,1,1378,0,123,0,14
86,2020. 05. 27,19,802,0,144,3,6878,11,158,0,30,0,45,0,50,0,47,6,774,0,56,0,60,0,145,0,21,0,18,0,1378,0,123,0,14
87,2020. 05. 28,24,826,1,145,2,6880,22,180,0,30,0,45,0,50,0,47,21,795,0,56,0,60,1,146,0,21,0,18,1,1379,0,123,0,14
88,2020. 05. 29,20,846,0,145,0,6880,18,198,0,30,0,45,0,50,0,47,20,815,0,56,0,60,0,146,0,21,0,18,0,1379,0,123,0,14
89,2020. 05. 30,9,855,1,146,2,6882,5,203,2,32,0,45,0,50,0,47,13,828,1,57,0,60,0,146,0,21,1,19,0,1379,0,123,0,14
90,2020. 05. 31,6,861,1,147,1,6883,3,206,0,32,1,46,2,52,0,47,12,840,0,57,0,60,0,146,0,21,0,19,0,1379,0,123,1,15
91,2020. 06. 01,1,862,0,147,1,6884,18,224,0,32,0,46,0,52,0,47,12,852,0,57,0,60,0,146,0,21,1,20,0,1379,0,123,0,15
92,2020. 06. 02,14,876,0,147,0,6884,8,232,0,32,0,46,0,52,0,47,15,867,0,57,0,60,0,146,0,21,0,20,0,1379,0,123,0,15
